kfold_file,fold,feature,l2_rate,dropout_rate,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,1e-05,0.5,0.8825267553329468,0.01810939610004425,0.8820005655288696,0.013213176280260086
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.0001,0.5,0.8935436010360718,0.01949537731707096,0.8846210241317749,0.019694242626428604
Dataset_10FoldCV_indexed.csv,"1,2,3,4,5,6,7,8,9,10",color,0.001,0.5,0.905086874961853,0.012279665097594261,0.8951281309127808,0.02169233188033104
