kfold_file,fold,feature,l2_rate,dropout_rate,val_acc,test_acc
Dataset_10FoldCV_indexed.csv,10,texture,0.001,0.5,0.8157894611358643,0.8157894611358643
Dataset_10FoldCV_indexed.csv,1,fourier,0.1,0.5,0.8157894611358643,0.7591623067855835
Dataset_10FoldCV_indexed.csv,2,fourier,0.1,0.5,0.7591623067855835,0.8115183115005493
Dataset_10FoldCV_indexed.csv,3,fourier,0.1,0.5,0.7748690843582153,0.7748690843582153
Dataset_10FoldCV_indexed.csv,4,fourier,0.1,0.5,0.801047146320343,0.7696335315704346
Dataset_10FoldCV_indexed.csv,5,fourier,0.1,0.5,0.7801046967506409,0.801047146320343
Dataset_10FoldCV_indexed.csv,6,fourier,0.1,0.5,0.8167539238929749,0.7853403091430664
Dataset_10FoldCV_indexed.csv,7,fourier,0.1,0.5,0.8219895362854004,0.7801046967506409
Dataset_10FoldCV_indexed.csv,8,fourier,0.1,0.5,0.801047146320343,0.8263157606124878
Dataset_10FoldCV_indexed.csv,9,fourier,0.1,0.5,0.8368421196937561,0.7631579041481018
Dataset_10FoldCV_indexed.csv,10,fourier,0.1,0.5,0.7736842036247253,0.7631579041481018
Dataset_10FoldCV_indexed.csv,1,shape,0.001,0.5,0.8999999761581421,0.9005235433578491
Dataset_10FoldCV_indexed.csv,2,shape,0.001,0.5,0.9057591557502747,0.9109947681427002
Dataset_10FoldCV_indexed.csv,3,shape,0.001,0.5,0.9162303805351257,0.9109947681427002
Dataset_10FoldCV_indexed.csv,4,shape,0.001,0.5,0.9162303805351257,0.9057591557502747
Dataset_10FoldCV_indexed.csv,5,shape,0.001,0.5,0.9214659929275513,0.9319371581077576
Dataset_10FoldCV_indexed.csv,6,shape,0.001,0.5,0.926701545715332,0.9371727705001831
Dataset_10FoldCV_indexed.csv,7,shape,0.001,0.5,0.9476439952850342,0.926701545715332
Dataset_10FoldCV_indexed.csv,8,shape,0.001,0.5,0.9214659929275513,0.9263157844543457
Dataset_10FoldCV_indexed.csv,9,shape,0.001,0.5,0.9315789341926575,0.9157894849777222
Dataset_10FoldCV_indexed.csv,10,shape,0.001,0.5,0.9157894849777222,0.8842105269432068
